ambient	plusFe
lcl|FLDA00M01CR6V5	4	145
lcl|FLDA00M01CR7V6	0	24
lcl|FLDA00M01CR9UP	5	440
lcl|FLDA00M01CRBBL	0	2
lcl|FLDA00M01CRDO1	0	75
lcl|FLDA00M01CREFP	3	87
lcl|FLDA00M01CRH76	0	1
lcl|FLDA00M01CRK3J	0	7
lcl|FLDA00M01CRNXL	4	411
lcl|FLDA00M01CS6PK	1	4
lcl|FLDA00M01CS93P	4	0
lcl|FLDA00M01CSMYB	0	5
lcl|FLDA00M01CT2QQ	4	2
lcl|FLDA00M01CT2TE	0	35
lcl|FLDA00M01CTF5J	30	0
lcl|FLDA00M01CTFR2	0	1
lcl|FLDA00M01CTH9L	0	17
lcl|FLDA00M01CTHL5	1	7
lcl|FLDA00M01CTHP4	0	6
lcl|FLDA00M01CTJ25	0	3
lcl|FLDA00M01CTMOX	0	15
lcl|FLDA00M01CTRBO	2	18
lcl|FLDA00M01CU9NO	2	42
lcl|FLDA00M01CU9O6	2	1
lcl|FLDA00M01CUEJ3	0	4
lcl|FLDA00M01CUIPW	43	0
lcl|FLDA00M01CUS6Q	0	7
lcl|FLDA00M01CUT51	5	3
lcl|FLDA00M01CV18R	0	10
lcl|FLDA00M01CV3DU	8	7
lcl|FLDA00M01CV5DF	0	12
lcl|FLDA00M01CVAA9	0	1
lcl|FLDA00M01CVAYU	2	0
lcl|FLDA00M01CVC9C	0	1
lcl|FLDA00M01CVCL7	0	2
lcl|FLDA00M01CVHLW	2	24
lcl|FLDA00M01CVI5S	3	9
lcl|FLDA00M01CVJIR	0	4
lcl|FLDA00M01CVL5U	7	189
lcl|FLDA00M01CVL9B	0	45
lcl|FLDA00M01CVMJN	0	4
lcl|FLDA00M01CVPMF	1	0
lcl|FLDA00M01CVSHJ	0	1
lcl|FLDA00M01CVSL9	1	46
lcl|FLDA00M01CVSMF	4	2
lcl|FLDA00M01CVSRG	1	10
lcl|FLDA00M01CVVVK	0	2
lcl|FLDA00M01CW5J4	1	6
lcl|FLDA00M01CW64N	0	68
lcl|FLDA00M01CW846	0	199
lcl|FLDA00M01CWEUH	4	17
lcl|FLDA00M01CWIHI	0	3
lcl|FLDA00M01CWISC	0	6
lcl|FLDA00M01CWLEG	0	24
lcl|FLDA00M01CWN6K	72	0
lcl|FLDA00M01CWNV2	0	9
lcl|FLDA00M01CWPQU	0	1
lcl|FLDA00M01CWRLX	18	0
lcl|FLDA00M01CWXED	2	17
lcl|FLDA00M01CWXHR	0	2
lcl|FLDA00M01CWZ66	0	11
lcl|FLDA00M01CX0PH	1	1
lcl|FLDA00M01CX3FS	0	6
lcl|FLDA00M01CX46S	0	154
lcl|FLDA00M01CX9B7	0	27
lcl|FLDA00M01CX9SS	1	0
lcl|FLDA00M01CXA3J	0	60
lcl|FLDA00M01CXAXB	0	2
lcl|FLDA00M01CXGL7	0	6
lcl|FLDA00M01CXHQI	0	23
lcl|FLDA00M01CXKCA	1	0
lcl|FLDA00M01CXKQ0	0	9
lcl|FLDA00M01CXT0P	0	5
lcl|FLDA00M01CY2MU	0	5
lcl|FLDA00M01CY47S	7	0
lcl|FLDA00M01CYFR8	0	2
lcl|FLDA00M01CYM54	3	67
lcl|FLDA00M01CYN6C	1	43
lcl|FLDA00M01CYQHG	0	27
lcl|FLDA00M01CYRP1	2	0
lcl|FLDA00M01CYV4D	0	26
lcl|FLDA00M01CZ0RN	0	1
lcl|FLDA00M01CZ288	1	26
lcl|FLDA00M01CZ302	2	0
lcl|FLDA00M01CZ73A	0	4
lcl|FLDA00M01CZFMC	0	54
lcl|FLDA00M01CZGZY	0	203
lcl|FLDA00M01CZLOD	110	1434
lcl|FLDA00M01CZN9V	0	31
lcl|FLDA00M01CZNQI	0	57
lcl|FLDA00M01CZO2S	8	292
lcl|FLDA00M01CZO3B	0	2
lcl|FLDA00M01CZT2C	0	14
lcl|FLDA00M01CZT6S	7	5
lcl|FLDA00M01D000J	0	17
lcl|FLDA00M01D0H4D	0	13
lcl|FLDA00M01D0I9I	0	10
lcl|FLDA00M01D0V3D	0	1
lcl|FLDA00M01D0XE2	0	20
lcl|FLDA00M01D0Z3D	0	5
lcl|FLDA00M01D1643	0	1
lcl|FLDA00M01D1IE5	2	0
lcl|FLDA00M01D1IPN	9	0
lcl|FLDA00M01D1O45	11	0
lcl|FLDA00M01D1WPT	0	54
lcl|FLDA00M01D20B7	0	5
lcl|FLDA00M01D224E	1	1
lcl|FLDA00M01D2564	0	8
lcl|FLDA00M01D29CE	0	1
lcl|FLDA00M01D2M4R	0	6
lcl|FLDA00M01D2NAG	0	1
lcl|FLDA00M01D2ULZ	0	150
lcl|FLDA00M01D2WNB	0	60
lcl|FLDA00M01D2WP2	0	30
lcl|FLDA00M01D2Z2N	0	4
lcl|FLDA00M01D308E	3	4
lcl|FLDA00M01D35QN	0	19
lcl|FLDA00M01D39GQ	4	0
lcl|FLDA00M01D3CN0	0	66
lcl|FLDA00M01D3FUJ	28	20
lcl|FLDA00M01D3I27	0	1
lcl|FLDA00M01D3KYK	2	0
lcl|FLDA00M01D3LUJ	0	53
lcl|FLDA00M01D3M1V	6	36
lcl|FLDA00M01D3MUL	13	12
lcl|FLDA00M01D3MV7	0	1
lcl|FLDA00M01D3NE4	2	1
lcl|FLDA00M01D3WVK	0	32
lcl|FLDA00M01D40IZ	0	22
lcl|FLDA00M01D4158	0	15
lcl|FLDA00M01D41TU	1	1
lcl|FLDA00M01D4226	0	5
lcl|FLDA00M01D4270	0	1
lcl|FLDA00M01D47N3	0	344
lcl|FLDA00M01D47RS	0	5
lcl|FLDA00M01D49WI	4	9
lcl|FLDA00M01D4AMM	0	5
lcl|FLDA00M01D4C77	0	6
lcl|FLDA00M01D4IB3	0	6
lcl|FLDA00M01D4NG0	0	17
lcl|FLDA00M01D4UP5	0	4
lcl|FLDA00M01D4Z2Q	0	1
lcl|FLDA00M01D516Z	0	2
lcl|FLDA00M01D57QS	0	11
lcl|FLDA00M01D59UB	0	17
lcl|FLDA00M01D5AAY	2	2
lcl|FLDA00M01D5ACO	1	0
lcl|FLDA00M01D5BAE	0	3
lcl|FLDA00M01D5GDG	1	41
lcl|FLDA00M01D5HHO	6	17
lcl|FLDA00M01D5NQH	0	29
lcl|FLDA00M01D5SHR	3	20
lcl|FLDA00M01D5SS2	0	2
lcl|FLDA00M01D5X2R	0	14
lcl|FLDA00M01D5XO3	1	47
lcl|FLDA00M01D5Y6S	0	22
lcl|FLDA00M01D65JV	0	3
lcl|FLDA00M01D6714	0	10
lcl|FLDA00M01D6AXS	0	42
lcl|FLDA00M01D6CJ8	1	4
lcl|FLDA00M01D6COL	0	2
lcl|FLDA00M01D6HCX	1	1
lcl|FLDA00M01D6O2E	0	62
lcl|FLDA00M01D6SMC	0	6
lcl|FLDA00M01D6U41	3	8
lcl|FLDA00M01D6ULT	2	10
lcl|FLDA00M01D6UPA	0	626
lcl|FLDA00M01D6WNT	1	6
lcl|FLDA00M01D74UZ	1	85
lcl|FLDA00M01D75FN	0	33
lcl|FLDA00M01D7AJS	0	4
lcl|FLDA00M01D7KCS	1	24
lcl|FLDA00M01D7MVG	2	18
lcl|FLDA00M01D7WB2	0	2
lcl|FLDA00M01D7YJA	9	35
lcl|FLDA00M01D83MD	0	6
lcl|FLDA00M01D843U	0	26
lcl|FLDA00M01D84UV	6	10
lcl|FLDA00M01D87XC	0	27
lcl|FLDA00M01D8BJW	1	0
lcl|FLDA00M01D8C6J	5	10
lcl|FLDA00M01D8CII	0	60
lcl|FLDA00M01D8LP2	4	36
lcl|FLDA00M01D8MWV	0	11
lcl|FLDA00M01D8MZV	9	31
lcl|FLDA00M01D8PMR	0	20
lcl|FLDA00M01D8VKY	0	5
lcl|FLDA00M01D8XE5	0	454
lcl|FLDA00M01D91DQ	0	12
lcl|FLDA00M01D94I3	0	14
lcl|FLDA00M01D96LJ	1	6
lcl|FLDA00M01D9BW7	0	5
lcl|FLDA00M01D9D3E	0	35
lcl|FLDA00M01D9E3M	0	10
lcl|FLDA00M01D9EQ9	0	9
lcl|FLDA00M01D9H2M	0	8
lcl|FLDA00M01D9HET	2	28
lcl|FLDA00M01D9IZA	9	122
lcl|FLDA00M01D9MX6	0	150
lcl|FLDA00M01D9W3H	0	6
lcl|FLDA00M01D9WDP	0	19
lcl|FLDA00M01DA5S1	0	30
lcl|FLDA00M01DA8WZ	0	2
lcl|FLDA00M01DA9GG	0	11
lcl|FLDA00M01DA9VX	0	1
lcl|FLDA00M01DADV1	0	7
lcl|FLDA00M01DAGHG	0	2
lcl|FLDA00M01DAMVK	2	5
lcl|FLDA00M01DAPZX	0	11
lcl|FLDA00M01DARCO	5	6
lcl|FLDA00M01DAXJW	2	77
lcl|FLDA00M01DB1VA	0	4
lcl|FLDA00M01DB2KZ	1	24
lcl|FLDA00M01DB5BH	0	5
lcl|FLDA00M01DBI0P	0	46
lcl|FLDA00M01DBJG2	0	108
lcl|FLDA00M01DBNA7	2	1
lcl|FLDA00M01DBVSW	0	7
lcl|FLDA00M01DBX9X	0	4
lcl|FLDA00M01DC296	0	8
lcl|FLDA00M01DCHYE	1	3
lcl|FLDA00M01DCIK2	2	1
lcl|FLDA00M01DCKCC	0	13
lcl|FLDA00M01DCLNV	5	75
lcl|FLDA00M01DCNCX	0	1
lcl|FLDA00M01DCRTE	0	74
lcl|FLDA00M01DD05T	14	3
lcl|FLDA00M01DD4S6	0	9
lcl|FLDA00M01DD5PM	0	12
lcl|FLDA00M01DD5VS	2	6
lcl|FLDA00M01DDL06	0	87
lcl|FLDA00M01DDMGZ	0	1
lcl|FLDA00M01DDMQS	0	1
lcl|FLDA00M01DDTGT	0	5
lcl|FLDA00M01DE07B	5	18
lcl|FLDA00M01DE0PZ	0	41
lcl|FLDA00M01DE3ZZ	0	1
lcl|FLDA00M01DE63R	12	5
lcl|FLDA00M01DEJA4	6	159
lcl|FLDA00M01DELTV	3	467
lcl|FLDA00M01DEN6O	0	1
lcl|FLDA00M01DEOBB	0	1
lcl|FLDA00M01DEOGJ	0	2
lcl|FLDA00M01DEXUI	3	38
lcl|FLDA00M01DF6Q9	0	2
lcl|FLDA00M01DFDRJ	0	1
lcl|FLDA00M01DFG29	0	28
lcl|FLDA00M01DFP1R	0	3
lcl|FLDA00M01DFS4X	0	2
lcl|FLDA00M01DFVNP	0	2
lcl|FLDA00M01DFW8H	0	2
lcl|FLDA00M01DFWPY	0	6
lcl|FLDA00M01DG168	0	1
lcl|FLDA00M01DGF21	24	12
lcl|FLDA00M01DGH67	0	43
lcl|FLDA00M01DGIEL	1	8
lcl|FLDA00M01DGM74	0	2
lcl|FLDA00M01DGMT3	0	2
lcl|FLDA00M01DGR91	0	2
lcl|FLDA00M01DGV1P	0	1
lcl|FLDA00M01DGVB5	1	8
lcl|FLDA00M01DGYNP	0	15
lcl|FLDA00M01DH055	0	4
lcl|FLDA00M01DH1HR	0	1
lcl|FLDA00M01DH1KQ	0	155
lcl|FLDA00M01DH4EE	0	1
lcl|FLDA00M01DH9DU	3	11
lcl|FLDA00M01DHAX8	0	1
lcl|FLDA00M01DHEAG	0	5
lcl|FLDA00M01DHG1A	5	67
lcl|FLDA00M01DHQ7J	0	33
lcl|FLDA00M01DHSRZ	0	47
lcl|FLDA00M01DHXZV	4	62
lcl|FLDA00M01DI1FO	0	5
lcl|FLDA00M01DI2GP	1	5
lcl|FLDA00M01DI2R3	0	10
lcl|FLDA00M01DIJZ1	0	3
lcl|FLDA00M01DIKOL	1	2
lcl|FLDA00M01DIQWF	3	0
lcl|FLDA00M01DIVGP	4	5
lcl|FLDA00M01DIY38	0	49
lcl|FLDA00M01DJ008	0	98
lcl|FLDA00M01DJ4W5	0	12
lcl|FLDA00M01DJESD	0	3
lcl|FLDA00M01DJHH8	0	2
lcl|FLDA00M01DJJN1	0	1
lcl|FLDA00M01DJL07	0	6
lcl|FLDA00M01DJLGJ	0	44
lcl|FLDA00M01DJQ5E	2	14
lcl|FLDA00M01DJX6Z	1	5
lcl|FLDA00M01DK63X	0	12
lcl|FLDA00M01DK6CV	1	3
lcl|FLDA00M01DK81M	0	41
lcl|FLDA00M01DK9T3	0	110
lcl|FLDA00M01DKAKG	0	2
lcl|FLDA00M01DKB23	0	96
lcl|FLDA00M01DKBHA	18	0
lcl|FLDA00M01DKDLX	0	17
lcl|FLDA00M01DKEF0	0	3
lcl|FLDA00M01DKKCQ	0	22
lcl|FLDA00M01DKOGE	0	3
lcl|FLDA00M01DKOPO	4	5
lcl|FLDA00M01DKP31	0	2
lcl|FLDA00M01DKQQB	0	5
lcl|FLDA00M01DKU3S	0	3
lcl|FLDA00M01DKUFY	1	5
lcl|FLDA00M01DKXGQ	1	4
lcl|FLDA00M01DL4LC	0	1
lcl|FLDA00M01DLB0E	1	41
lcl|FLDA00M01DLBZS	0	1
lcl|FLDA00M01DLDHK	0	8
lcl|FLDA00M01DLDIQ	0	25
lcl|FLDA00M01DLG47	1	0
lcl|FLDA00M01DLGAA	7	12
lcl|FLDA00M01DLO6S	45	58
lcl|FLDA00M01DLPMZ	1	0
lcl|FLDA00M01DLSNQ	1	1
lcl|FLDA00M01DLWWB	0	10
lcl|FLDA00M01DLY2S	1	1
lcl|FLDA00M01DLZ67	0	23
lcl|FLDA00M01DM4BH	0	90
lcl|FLDA00M01DM66U	0	1
lcl|FLDA00M01DM6DB	4	0
lcl|FLDA00M01DM9IM	2	4
lcl|FLDA00M01DMB1A	0	3
lcl|FLDA00M01DMB2T	0	6
lcl|FLDA00M01DMBL8	0	8
lcl|FLDA00M01DMCH4	0	3
lcl|FLDA00M01DME82	0	12
lcl|FLDA00M01DMJRM	1	1
lcl|FLDA00M01DMR4N	0	14
lcl|FLDA00M01DMV1T	0	7
lcl|FLDA00M01DMXC6	0	2
lcl|FLDA00M01DN2KQ	3	4
lcl|FLDA00M01DN2UH	2	1
lcl|FLDA00M01DN503	0	120
lcl|FLDA00M01DNJ1E	0	2
lcl|FLDA00M01DNWIV	10	0
lcl|FLDA00M01DNWJB	2	16
lcl|FLDA00M01DO2IO	0	4
lcl|FLDA00M01DOH62	1	3
lcl|FLDA00M01DOLGQ	3	13
lcl|FLDA00M01DON9P	0	2
lcl|FLDA00M01DOPRD	1	16
lcl|FLDA00M01DOTKD	0	16
lcl|FLDA00M01DOVWH	3	2
lcl|FLDA00M01DOXOL	0	5
lcl|FLDA00M01DP040	0	82
lcl|FLDA00M01DP0HE	5	83
lcl|FLDA00M01DPAX2	11	13
lcl|FLDA00M01DPFVJ	0	1
lcl|FLDA00M01DPGJQ	1	1
lcl|FLDA00M01DPGZ7	9	0
lcl|FLDA00M01DPJ1P	0	27
lcl|FLDA00M01DPKEP	0	4
lcl|FLDA00M01DPLWU	3	69
lcl|FLDA00M01DPMG4	11	129
lcl|FLDA00M01DPP0S	1	17
lcl|FLDA00M01DPP1J	0	7
lcl|FLDA00M01DPPZR	0	1
lcl|FLDA00M01DPQT7	0	224
lcl|FLDA00M01DQ787	0	1
lcl|FLDA00M01DQ7SC	0	71
lcl|FLDA00M01DQ8J6	0	14
lcl|FLDA00M01DQ8TY	1	0
lcl|FLDA00M01DQ964	5	26
lcl|FLDA00M01DQCXP	0	5
lcl|FLDA00M01DQDI3	0	12
lcl|FLDA00M01DQEUL	0	8
lcl|FLDA00M01DQGCF	24	1
lcl|FLDA00M01DQV13	0	35
lcl|FLDA00M01DQVPW	5	19
lcl|FLDA00M01DQZHC	0	1
lcl|FLDA00M01DR35F	0	2
lcl|FLDA00M01DR3RC	0	13
lcl|FLDA00M01DR4OB	0	39
lcl|FLDA00M01DR679	0	38
lcl|FLDA00M01DR7A1	3	0
lcl|FLDA00M01DR7XP	0	4
lcl|FLDA00M01DR96B	0	1
lcl|FLDA00M01DRAWR	5	0
lcl|FLDA00M01DRE4T	0	1
lcl|FLDA00M01DREEB	0	154
lcl|FLDA00M01DRH3M	0	52
lcl|FLDA00M01DRKQ9	91	33
lcl|FLDA00M01DRRHA	6	108
lcl|FLDA00M01DRXO2	0	18
lcl|FLDA00M01DS13U	0	7
lcl|FLDA00M01DS3KN	0	74
lcl|FLDA00M01DS3YN	0	4
lcl|FLDA00M01DSAG9	5	2
lcl|FLDA00M01DSAT2	0	8
lcl|FLDA00M01DSB54	0	327
lcl|FLDA00M01DSG48	0	10
lcl|FLDA00M01DSHE1	0	7
lcl|FLDA00M01DSJ6L	4	8
lcl|FLDA00M01DSJ6Q	0	1
lcl|FLDA00M01DSM9T	4	3
lcl|FLDA00M01DSOA7	2	1
lcl|FLDA00M01DSP56	0	12
lcl|FLDA00M01DSPF3	0	2
lcl|FLDA00M01DSS3J	0	226
lcl|FLDA00M01DSSO8	12	2
lcl|FLDA00M01DSUPO	0	4
lcl|FLDA00M01DSXJO	3	0
lcl|FLDA00M01DSXW0	0	3
lcl|FLDA00M01DSY4U	0	9
lcl|FLDA00M01DSY6I	9	0
lcl|FLDA00M01DT0ZI	0	29
lcl|FLDA00M01DT41R	4	49
lcl|FLDA00M01DT4LZ	3	563
lcl|FLDA00M01DT6HP	2	2
lcl|FLDA00M01DT830	0	5
lcl|FLDA00M01DTCFI	0	5
lcl|FLDA00M01DTCS2	0	16
lcl|FLDA00M01DTEZW	0	87
lcl|FLDA00M01DTHHV	0	4
lcl|FLDA00M01DTLWN	0	1
lcl|FLDA00M01DTMLH	0	115
lcl|FLDA00M01DTRVB	1	2
lcl|FLDA00M01DTUIS	0	56
lcl|FLDA00M01DTV2F	0	2
lcl|FLDA00M01DTVGO	0	18
lcl|FLDA00M01DU4IR	2	1
lcl|FLDA00M01DU5MR	4	10
lcl|FLDA00M01DU96V	0	27
lcl|FLDA00M01DUG03	3	55
lcl|FLDA00M01DUKJJ	1	2
lcl|FLDA00M01DUQG5	0	1
lcl|FLDA00M01DUU78	1	3
lcl|FLDA00M01DUY6J	0	39
lcl|FLDA00M01DV46P	0	1
lcl|FLDA00M01DV6U2	0	86
lcl|FLDA00M01DVDW6	2	9
lcl|FLDA00M01DVLR5	7	64
lcl|FLDA00M01DVNL9	0	349
lcl|FLDA00M01DVOY6	1	35
lcl|FLDA00M01DVP3V	0	7
lcl|FLDA00M01DVQDQ	0	15
lcl|FLDA00M01DVT81	0	3
lcl|FLDA00M01DVU7W	0	3
lcl|FLDA00M01DVU98	3	179
lcl|FLDA00M01DVVCQ	1	7
lcl|FLDA00M01DVYGY	0	3
lcl|FLDA00M01DVYSE	0	13
lcl|FLDA00M01DVZK8	0	3
lcl|FLDA00M01DW1QH	0	2
lcl|FLDA00M01DW301	0	147
lcl|FLDA00M01DWA7T	0	7
lcl|FLDA00M01DWBDZ	0	5
lcl|FLDA00M01DWERQ	0	2
lcl|FLDA00M01DWGP7	0	2
lcl|FLDA00M01DWIG8	1	1
lcl|FLDA00M01DWPP3	4	0
lcl|FLDA00M01DWPR4	2	0
lcl|FLDA00M01DWR95	3	1
lcl|FLDA00M01DWUQM	0	1
lcl|FLDA00M01DX81O	1	5
lcl|FLDA00M01DXJ7Y	0	19
lcl|FLDA00M01DXJE8	5	0
lcl|FLDA00M01DXKF2	0	43
lcl|FLDA00M01DXVIS	1	22
lcl|FLDA00M01DXWL8	0	6
lcl|FLDA00M01DXYK2	11	13
lcl|FLDA00M01DXZX8	3	0
lcl|FLDA00M01DY26T	2	54
lcl|FLDA00M01DY73Z	0	3
lcl|FLDA00M01DYDAE	6	39
lcl|FLDA00M01DYF31	0	4
lcl|FLDA00M01DYIHN	0	6
lcl|FLDA00M01DYL8C	0	41
lcl|FLDA00M01DYOW2	0	1
lcl|FLDA00M01DYQ89	1	16
lcl|FLDA00M01DYV75	9	133
lcl|FLDA00M01DYVVU	0	10
lcl|FLDA00M01DYY3L	0	2
lcl|FLDA00M01DZ22P	1	0
lcl|FLDA00M01DZ5AP	0	10
lcl|FLDA00M01DZ7GY	0	24
lcl|FLDA00M01DZGU1	1	0
lcl|FLDA00M01DZOO6	0	6
lcl|FLDA00M01DZOTP	0	116
lcl|FLDA00M01DZQED	0	2
lcl|FLDA00M01DZQWQ	2	5
lcl|FLDA00M01DZQXU	0	14
lcl|FLDA00M01DZRL1	0	6
lcl|FLDA00M01E0103	2	17
lcl|FLDA00M01E05XK	1	1
lcl|FLDA00M01E0FTC	14	1
lcl|FLDA00M01E0MO3	0	7
lcl|FLDA00M01E0MS2	1	3
lcl|FLDA00M01E0PJA	0	62
lcl|FLDA00M01E0SS6	0	1
lcl|FLDA00M01E0THV	0	135
lcl|FLDA00M01E1A9D	0	2
lcl|FLDA00M01E1B1L	0	4
lcl|FLDA00M01E1BBC	0	35
lcl|FLDA00M01E1LXT	0	3
lcl|FLDA00M01E281G	0	6
lcl|FLDA00M01E2GNM	0	3
lcl|FLDA00M01E2J11	2	13
lcl|FLDA00M01E2JGI	0	21
lcl|FLDA00M01E2M3S	0	1
lcl|FLDA00M01E2MXU	1	0
lcl|FLDA00M01E2SWD	0	19
lcl|FLDA00M01EA3ED	5	0
lcl|FLDA00M01EA3V3	1	0
lcl|FLDA00M01EA9WV	1	0
lcl|FLDA00M01EAAFE	1	4
lcl|FLDA00M01EAATA	0	2
lcl|FLDA00M01EAED7	0	6
lcl|FLDA00M01EAH20	0	4
lcl|FLDA00M01EAKNW	0	1
lcl|FLDA00M01EAKYW	0	1
lcl|FLDA00M01EAN5Q	0	37
lcl|FLDA00M01EAOYJ	0	54
lcl|FLDA00M01EAPMP	0	3
lcl|FLDA00M01EAW0M	6	5
lcl|FLDA00M01EAZOF	17	10
lcl|FLDA00M01EB04Y	0	3
lcl|FLDA00M01EB9YE	0	57
lcl|FLDA00M01EBAXM	1	2
lcl|FLDA00M01EBE2H	1	5
lcl|FLDA00M01EBP2Z	4	3
lcl|FLDA00M01EBP3J	3	4
lcl|FLDA00M01EBT2X	0	9
lcl|FLDA00M01EBZFX	4	7
lcl|FLDA00M01EC49F	0	22
lcl|FLDA00M01EC6IO	0	4
lcl|FLDA00M01EC9KL	10	27
lcl|FLDA00M01EC9L6	2	0
lcl|FLDA00M01ECERF	1	5
lcl|FLDA00M01ECH9P	0	6
lcl|FLDA00M01ECKAC	7	22
lcl|FLDA00M01ECPT3	0	2
lcl|FLDA00M01ECRCB	0	2
lcl|FLDA00M01ECRT7	0	1
lcl|FLDA00M01ECT48	1	12
lcl|FLDA00M01ECT4L	47	216
lcl|FLDA00M01ECXXO	12	5
lcl|FLDA00M01ECZ76	1	2
lcl|FLDA00M01ECZJT	0	22
lcl|FLDA00M01ECZKL	0	14
lcl|FLDA00M01ECZU0	0	18
lcl|FLDA00M01ED85K	0	8
lcl|FLDA00M01EDCPG	0	35
lcl|FLDA00M01EDDA5	3	14
lcl|FLDA00M01EDZIY	1	34
lcl|FLDA00M01EE3LN	4	0
lcl|FLDA00M01EE685	2	0
lcl|FLDA00M01EEBB2	0	14
lcl|FLDA00M01EEBQ9	0	26
lcl|FLDA00M01EEDFU	0	4
lcl|FLDA00M01EEGRY	23	519
lcl|FLDA00M01EEHWW	0	2
lcl|FLDA00M01EEQ6Q	0	2
lcl|FLDA00M01EEQ7B	1	0
lcl|FLDA00M01EEQS4	0	5
lcl|FLDA00M01EEVNZ	6	7
lcl|FLDA00M01EF25O	0	81
lcl|FLDA00M01EF25R	1	4
lcl|FLDA00M01EF83C	0	25
lcl|FLDA00M01EFERL	2	21
lcl|FLDA00M01EFHU3	0	4
lcl|FLDA00M01EFNFG	2	6
lcl|FLDA00M01EFQB5	0	39
lcl|FLDA00M01EFRKV	1	1
lcl|FLDA00M01EFRTL	1	42
lcl|FLDA00M01EFUYP	0	12
lcl|FLDA00M01EFVEH	0	10
lcl|FLDA00M01EFY14	0	27
lcl|FLDA00M01EFZU9	1	18
lcl|FLDA00M01EFZWU	0	2
lcl|FLDA00M01EG2P6	4	7
lcl|FLDA00M01EG37X	0	81
lcl|FLDA00M01EG38G	0	4
lcl|FLDA00M01EG5Y8	0	4
lcl|FLDA00M01EG8AG	2	0
lcl|FLDA00M01EG8UK	3	28
lcl|FLDA00M01EGFBL	2	66
lcl|FLDA00M01EGFOT	0	429
lcl|FLDA00M01EGIH7	0	6
lcl|FLDA00M01EGJM4	1	28
lcl|FLDA00M01EGK6W	0	41
lcl|FLDA00M01EGL9W	0	34
lcl|FLDA00M01EGORY	0	11
lcl|FLDA00M01EGPI9	0	1
lcl|FLDA00M01EGUUF	0	52
lcl|FLDA00M01EGWK2	0	1
lcl|FLDA00M01EGYNG	0	6
lcl|FLDA00M01EGYSO	0	14
lcl|FLDA00M01EGZCO	0	46
lcl|FLDA00M01EH2E4	0	24
lcl|FLDA00M01EH4ND	1	39
lcl|FLDA00M01EH6D2	0	7
lcl|FLDA00M01EH86H	0	4
lcl|FLDA00M01EHA61	0	25
lcl|FLDA00M01EHE46	1	2
lcl|FLDA00M01EHFMQ	2	0
lcl|FLDA00M01EHHX8	2	25
lcl|FLDA00M01EHP9P	0	1
lcl|FLDA00M01EHQTO	0	1
lcl|FLDA00M01EHRZY	1	193
lcl|FLDA00M01EHULY	0	1
lcl|FLDA00M01EHY51	0	11
lcl|FLDA00M01EI15T	0	192
lcl|FLDA00M01EI2F4	3	62
lcl|FLDA00M01EI3K0	0	3
lcl|FLDA00M01EI50F	9	52
lcl|FLDA00M01EIBAQ	9	135
lcl|FLDA00M01EICJ3	2	1
lcl|FLDA00M01EIDKJ	2	17
lcl|FLDA00M01EIHZL	0	1
lcl|FLDA00M01EII7B	1	3
lcl|FLDA00M01EIJFK	1	6
lcl|FLDA00M01EIPBY	0	15
lcl|FLDA00M01EISTA	0	1
lcl|FLDA00M01EITD4	5	73
lcl|FLDA00M01EIV6R	0	202
lcl|FLDA00M01EJ0WY	0	5
lcl|FLDA00M01EJ8ZW	0	1
lcl|FLDA00M01EJB5R	0	1
lcl|FLDA00M01EJBDI	11	10
lcl|FLDA00M01EJC7C	2	1
lcl|FLDA00M01EJEGD	0	11
lcl|FLDA00M01EJEIE	3	17
lcl|FLDA00M01EJF1B	0	26
lcl|FLDA00M01EJV5L	0	2
lcl|FLDA00M01EJX30	0	1
lcl|FLDA00M01EJX5Z	6	188
lcl|FLDA00M01EKDT7	0	46
lcl|FLDA00M01EKF9V	0	108
lcl|FLDA00M01EKHUU	2	25
lcl|FLDA00M01EKHZM	0	2
lcl|FLDA00M01EKKDD	1	7
lcl|FLDA00M01EKKPA	1	23
lcl|FLDA00M01EKKSF	0	3
lcl|FLDA00M01EKL32	1	0
lcl|FLDA00M01EKT8J	0	4
lcl|FLDA00M01EL6Y6	2	0
lcl|FLDA00M01ELCJH	1	13
lcl|FLDA00M01ELDN7	9	182
lcl|FLDA00M01ELFMF	1	9
lcl|FLDA00M01ELFYY	0	5
lcl|FLDA00M01ELLQI	0	30
lcl|FLDA00M01ELLRS	0	5
lcl|FLDA00M01ELLTP	0	22
lcl|FLDA00M01ELMS2	0	17
lcl|FLDA00M01ELOLU	1	2
lcl|FLDA00M01ELVQA	2	0
lcl|FLDA00M01ELWK2	0	2
lcl|FLDA00M01ELXKZ	0	14
lcl|FLDA00M01EM17R	6	0
lcl|FLDA00M01EM2N3	0	81
lcl|FLDA00M01EM3U0	0	10
lcl|FLDA00M01EM3UR	246	71
lcl|FLDA00M01EM7KO	0	35
lcl|FLDA00M01EM9R2	0	26
lcl|FLDA00M01EMFI3	1	0
lcl|FLDA00M01EMHXQ	0	2
lcl|FLDA00M01EMJ3E	0	8
lcl|FLDA00M01EMLQD	0	1
lcl|FLDA00M01EMNPO	0	9
lcl|FLDA00M01EMNQA	2	6
lcl|FLDA00M01EMQP1	1	7
lcl|FLDA00M01EMVJW	0	1
lcl|FLDA00M01EMZ1U	0	3
lcl|FLDA00M01EN2S9	2	84
lcl|FLDA00M01ENMUC	0	6
