ambient	plusFe
lcl|FLDA00M01B3FHQ	11	0
lcl|FLDA00M01B3NO4	3	0
lcl|FLDA00M01B3O21	0	6
lcl|FLDA00M01B3OFK	1	18
lcl|FLDA00M01B3PFZ	1	0
lcl|FLDA00M01B3R97	5	111
lcl|FLDA00M01B3X3N	0	105
lcl|FLDA00M01B3YY8	0	2
lcl|FLDA00M01B3ZPL	25	0
lcl|FLDA00M01B40X1	2	0
lcl|FLDA00M01B42JL	1	10
lcl|FLDA00M01B460I	0	2
lcl|FLDA00M01B47FX	1	1
lcl|FLDA00M01B491C	0	1
lcl|FLDA00M01B4ADS	0	31
lcl|FLDA00M01B4ILZ	1	1
lcl|FLDA00M01B4LGV	1	15
lcl|FLDA00M01B4LV5	0	21
lcl|FLDA00M01B4NFY	0	4
lcl|FLDA00M01B50H6	2	6
lcl|FLDA00M01B51ZA	0	5
lcl|FLDA00M01B5DY7	0	7
lcl|FLDA00M01B5FPF	0	35
lcl|FLDA00M01B5PC9	2	5
lcl|FLDA00M01B5SRO	0	1
lcl|FLDA00M01B5VWS	0	7
lcl|FLDA00M01B5Y9Z	4	33
lcl|FLDA00M01B614F	0	3
lcl|FLDA00M01B64B2	0	33
lcl|FLDA00M01B64BK	0	26
lcl|FLDA00M01B64WS	0	34
lcl|FLDA00M01B69TE	4	3
lcl|FLDA00M01B6IBL	0	3
lcl|FLDA00M01B6PO3	1	28
lcl|FLDA00M01B6R5T	1	17
lcl|FLDA00M01B6S1E	7	7
lcl|FLDA00M01B6VJU	0	41
lcl|FLDA00M01B6X5H	5	7
lcl|FLDA00M01B6YS9	0	11
lcl|FLDA00M01B72ZO	0	1
lcl|FLDA00M01B73BA	4	5
lcl|FLDA00M01B76T4	0	1
lcl|FLDA00M01B77DA	0	4
lcl|FLDA00M01B78D7	1	2
lcl|FLDA00M01B797P	0	70
lcl|FLDA00M01B7BTR	0	5
lcl|FLDA00M01B7GXG	1	3
lcl|FLDA00M01B7GXJ	5	7
lcl|FLDA00M01B7W12	3	0
lcl|FLDA00M01B7WY1	0	2
lcl|FLDA00M01B7ZZF	30	11
lcl|FLDA00M01B8467	7	5
lcl|FLDA00M01B85AR	0	19
lcl|FLDA00M01B8C6J	0	1
lcl|FLDA00M01B8FTF	0	16
lcl|FLDA00M01B8IAI	0	45
lcl|FLDA00M01B8NZ2	1	12
lcl|FLDA00M01B8S57	0	2
lcl|FLDA00M01B8S7F	0	6
lcl|FLDA00M01B8Y22	0	5
lcl|FLDA00M01B8ZYJ	0	2
lcl|FLDA00M01B91TV	1	0
lcl|FLDA00M01B96X3	0	7
lcl|FLDA00M01B96X9	1	0
lcl|FLDA00M01B97M4	2	9
lcl|FLDA00M01B9B6P	0	38
lcl|FLDA00M01B9J7T	0	2
lcl|FLDA00M01BA8AE	0	34
lcl|FLDA00M01BA95E	1	0
lcl|FLDA00M01BABC3	239	48
lcl|FLDA00M01BAJYZ	0	57
lcl|FLDA00M01BAOD8	0	32
lcl|FLDA00M01BAPHS	9	4
lcl|FLDA00M01BAUFK	0	20
lcl|FLDA00M01BB5I3	10	0
lcl|FLDA00M01BB75N	0	595
lcl|FLDA00M01BBBPQ	0	83
lcl|FLDA00M01BBGVU	0	170
lcl|FLDA00M01BBH3C	0	5
lcl|FLDA00M01BBII8	1	59
lcl|FLDA00M01BBL9E	0	30
lcl|FLDA00M01BBMUN	0	1
lcl|FLDA00M01BBOHO	0	5
lcl|FLDA00M01BBZ5A	0	43
lcl|FLDA00M01BC3XE	1	12
lcl|FLDA00M01BC6ZQ	0	1
lcl|FLDA00M01BCA1T	0	4
lcl|FLDA00M01BCM4L	0	1
lcl|FLDA00M01BD0X4	0	8
lcl|FLDA00M01BD5SW	0	3
lcl|FLDA00M01BDGIA	0	1
lcl|FLDA00M01BDU0G	1	18
lcl|FLDA00M01BDUWY	1	8
lcl|FLDA00M01BE4PZ	0	1
lcl|FLDA00M01BE8HQ	0	11
lcl|FLDA00M01BE8KO	0	11
lcl|FLDA00M01BETCT	0	5
lcl|FLDA00M01BEZ80	0	9
lcl|FLDA00M01BF6J1	2	15
lcl|FLDA00M01BFQJB	4	3
lcl|FLDA00M01BFTNQ	0	2
lcl|FLDA00M01BFV8E	0	9
lcl|FLDA00M01BGO0H	0	50
lcl|FLDA00M01BGOU5	5	58
lcl|FLDA00M01BGPS6	0	13
lcl|FLDA00M01BGTV6	2	13
lcl|FLDA00M01BGWGM	0	10
lcl|FLDA00M01BH3SB	1	2
lcl|FLDA00M01BH7NY	5	8
lcl|FLDA00M01BHD55	0	89
lcl|FLDA00M01BHE23	0	1
lcl|FLDA00M01BHFFY	6	6
lcl|FLDA00M01BI188	6	0
lcl|FLDA00M01BI268	0	6
lcl|FLDA00M01BI89L	1	83
lcl|FLDA00M01BIAF5	8	85
lcl|FLDA00M01BIGUD	0	12
lcl|FLDA00M01BII8A	1	2
lcl|FLDA00M01BIL31	0	4
lcl|FLDA00M01BIMUK	1	3
lcl|FLDA00M01BIWU5	0	84
lcl|FLDA00M01BIXTD	1	0
lcl|FLDA00M01BIY75	0	34
lcl|FLDA00M01BJ5T7	0	39
lcl|FLDA00M01BJDCE	0	3
lcl|FLDA00M01BJKGZ	3	186
lcl|FLDA00M01BJMLF	2	5
lcl|FLDA00M01BJO22	0	12
lcl|FLDA00M01BJOWS	1	229
lcl|FLDA00M01BJPFX	0	20
lcl|FLDA00M01BJUMW	0	32
lcl|FLDA00M01BK0I5	0	17
lcl|FLDA00M01BK88L	1	34
lcl|FLDA00M01BK9YW	0	17
lcl|FLDA00M01BKA60	0	5
lcl|FLDA00M01BKC99	18	14
lcl|FLDA00M01BKF5U	0	7
lcl|FLDA00M01BKPWW	0	11
lcl|FLDA00M01BKSRH	0	25
lcl|FLDA00M01BKW74	0	4
lcl|FLDA00M01BKX54	2	3
lcl|FLDA00M01BKXDU	0	9
lcl|FLDA00M01BLS2O	38	0
lcl|FLDA00M01BLVQF	7	0
lcl|FLDA00M01BLYMT	0	14
lcl|FLDA00M01BM53U	0	13
lcl|FLDA00M01BMG57	0	10
lcl|FLDA00M01BMHTW	0	1
lcl|FLDA00M01BMQXA	0	1
lcl|FLDA00M01BMXHN	0	49
lcl|FLDA00M01BMYYK	0	1
lcl|FLDA00M01BND65	0	10
lcl|FLDA00M01BNHMB	0	37
lcl|FLDA00M01BNJRQ	0	42
lcl|FLDA00M01BNM34	0	34
lcl|FLDA00M01BO15S	1	7
lcl|FLDA00M01BOBVF	1	6
lcl|FLDA00M01BOO3O	0	1
lcl|FLDA00M01BOSP5	0	12
lcl|FLDA00M01BOTWM	0	3
lcl|FLDA00M01BOYZ7	0	1
lcl|FLDA00M01BP0M6	8	11
lcl|FLDA00M01BP33M	0	23
lcl|FLDA00M01BP5XJ	2	2
lcl|FLDA00M01BP98E	0	4
lcl|FLDA00M01BP9GA	0	12
lcl|FLDA00M01BPCUB	2	0
lcl|FLDA00M01BPED6	0	10
lcl|FLDA00M01BPNY2	1	3
lcl|FLDA00M01BPUM6	0	1
lcl|FLDA00M01BPY2F	0	70
lcl|FLDA00M01BQ13K	0	5
lcl|FLDA00M01BQ3L5	0	4
lcl|FLDA00M01BQ9L1	1	58
lcl|FLDA00M01BQC7R	0	7
lcl|FLDA00M01BQF2B	0	2
lcl|FLDA00M01BQH9I	0	5
lcl|FLDA00M01BQUZA	2	3
lcl|FLDA00M01BQY0K	4	1
lcl|FLDA00M01BQZ4U	0	12
lcl|FLDA00M01BR1YU	8	155
lcl|FLDA00M01BR7PR	1	19
lcl|FLDA00M01BRFD1	4	2
lcl|FLDA00M01BRKM2	6	69
lcl|FLDA00M01BROL0	13	20
lcl|FLDA00M01BS1YG	0	1
lcl|FLDA00M01BS95G	0	5
lcl|FLDA00M01BS9H4	2	6
lcl|FLDA00M01BSGC9	2	10
lcl|FLDA00M01BSGHK	0	28
lcl|FLDA00M01BSPUP	0	1
lcl|FLDA00M01BSPZW	0	13
lcl|FLDA00M01BSR99	2	39
lcl|FLDA00M01BSSOE	0	43
lcl|FLDA00M01BSZHL	0	42
lcl|FLDA00M01BTD3I	14	179
lcl|FLDA00M01BTFEY	0	1
lcl|FLDA00M01BTIZC	2	36
lcl|FLDA00M01BTJ15	0	21
lcl|FLDA00M01BTX6X	1	0
lcl|FLDA00M01BUBNG	0	6
lcl|FLDA00M01BUHB4	0	25
lcl|FLDA00M01BUK3X	0	5
lcl|FLDA00M01BUQZD	3	24
lcl|FLDA00M01BURA6	0	389
lcl|FLDA00M01BUV4K	2	34
lcl|FLDA00M01BVCP0	0	68
lcl|FLDA00M01BVMK1	0	3
lcl|FLDA00M01BVQRG	1	105
lcl|FLDA00M01BVVAE	55	20
lcl|FLDA00M01BVY8Y	0	73
lcl|FLDA00M01BW7PT	0	51
lcl|FLDA00M01BWBO3	11	8
lcl|FLDA00M01BWFJ1	6	43
lcl|FLDA00M01BWFJD	0	37
lcl|FLDA00M01BWHUF	0	118
lcl|FLDA00M01BWIJX	3	4
lcl|FLDA00M01BWJO3	0	3
